symbol,open,close,date
BRX,10.95,11.1,"2020-05-01, 05-00-00"
BRX,10.7,10.83,"2020-05-04, 05-00-00"
BRX,11.04,10.94,"2020-05-05, 05-00-00"
BRX,10.92,10.49,"2020-05-06, 05-00-00"
BRX,10.63,10.8,"2020-05-07, 05-00-00"
BRX,10.87,11.36,"2020-05-08, 05-00-00"
BRX,11.14,10.56,"2020-05-11, 05-00-00"
BRX,10.58,10.1,"2020-05-12, 05-00-00"
BRX,9.95,9.24,"2020-05-13, 05-00-00"
BRX,8.9,9.52,"2020-05-14, 05-00-00"
BRX,9.33,9.35,"2020-05-15, 05-00-00"
BRX,9.96,10.9,"2020-05-18, 05-00-00"
BRX,10.83,10.79,"2020-05-19, 05-00-00"
BRX,10.96,10.84,"2020-05-20, 05-00-00"
BRX,10.72,11.06,"2020-05-21, 05-00-00"
BRX,11.05,10.83,"2020-05-22, 05-00-00"
BRX,11.8,11.71,"2020-05-26, 05-00-00"
BRX,12.24,12.03,"2020-05-27, 05-00-00"
BRX,12.24,11.74,"2020-05-28, 05-00-00"
BRX,11.53,11.16,"2020-05-29, 05-00-00"
BRX,11.15,12.06,"2020-06-01, 05-00-00"
BRX,12.23,12.45,"2020-06-02, 05-00-00"
BRX,12.72,13.73,"2020-06-03, 05-00-00"
BRX,13.66,14.3,"2020-06-04, 05-00-00"
BRX,15.46,15.51,"2020-06-05, 05-00-00"
BRX,16.0,16.04,"2020-06-08, 05-00-00"
BRX,15.29,14.92,"2020-06-09, 05-00-00"
BRX,14.69,13.98,"2020-06-10, 05-00-00"
BRX,12.77,12.32,"2020-06-11, 05-00-00"
BRX,13.2,13.45,"2020-06-12, 05-00-00"
BRX,12.72,13.32,"2020-06-15, 05-00-00"
BRX,14.26,13.9,"2020-06-16, 05-00-00"
BRX,13.89,13.0,"2020-06-17, 05-00-00"
BRX,12.69,12.98,"2020-06-18, 05-00-00"
BRX,13.12,12.66,"2020-06-19, 05-00-00"
BRX,12.5,12.86,"2020-06-22, 05-00-00"
BRX,13.04,12.98,"2020-06-23, 05-00-00"
BRX,12.71,12.33,"2020-06-24, 05-00-00"
BRX,12.11,12.7,"2020-06-25, 05-00-00"
BRX,12.54,12.54,"2020-06-26, 05-00-00"
BRX,12.66,12.95,"2020-06-29, 05-00-00"
BRX,12.98,12.82,"2020-06-30, 05-00-00"
BRX,13.05,13.13,"2020-07-01, 05-00-00"
BRX,13.64,13.0,"2020-07-02, 05-00-00"
BRX,13.41,13.07,"2020-07-06, 05-00-00"
BRX,12.82,12.26,"2020-07-07, 05-00-00"
BRX,12.08,12.25,"2020-07-08, 05-00-00"
BRX,12.2,11.81,"2020-07-09, 05-00-00"
BRX,11.75,12.11,"2020-07-10, 05-00-00"
BRX,12.21,11.82,"2020-07-13, 05-00-00"
BRX,11.84,11.65,"2020-07-14, 05-00-00"
BRX,12.03,12.27,"2020-07-15, 05-00-00"
BRX,12.19,12.13,"2020-07-16, 05-00-00"
BRX,12.2,11.87,"2020-07-17, 05-00-00"
BRX,11.82,11.55,"2020-07-20, 05-00-00"
BRX,11.71,11.55,"2020-07-21, 05-00-00"
BRX,11.47,11.79,"2020-07-22, 05-00-00"
BRX,11.6,11.48,"2020-07-23, 05-00-00"
BRX,11.45,11.18,"2020-07-24, 05-00-00"
BRX,11.1,11.25,"2020-07-27, 05-00-00"
BRX,11.19,11.75,"2020-07-28, 05-00-00"
BRX,11.85,11.81,"2020-07-29, 05-00-00"
BRX,11.52,11.78,"2020-07-30, 05-00-00"
BRX,11.72,11.51,"2020-07-31, 05-00-00"
BRX,11.4,11.4,"2020-08-03, 05-00-00"
BRX,11.4,12.0,"2020-08-04, 05-00-00"
BRX,12.18,11.64,"2020-08-05, 05-00-00"
BRX,11.47,11.92,"2020-08-06, 05-00-00"
BRX,11.8,12.18,"2020-08-07, 05-00-00"
BRX,12.2,12.37,"2020-08-10, 05-00-00"
BRX,12.6,12.71,"2020-08-11, 05-00-00"
BRX,12.84,12.63,"2020-08-12, 05-00-00"
BRX,12.46,12.33,"2020-08-13, 05-00-00"
BRX,12.24,12.43,"2020-08-14, 05-00-00"
BRX,12.41,12.61,"2020-08-17, 05-00-00"
BRX,12.55,12.12,"2020-08-18, 05-00-00"
BRX,12.1,11.75,"2020-08-19, 05-00-00"
BRX,11.64,11.82,"2020-08-20, 05-00-00"
BRX,11.79,11.63,"2020-08-21, 05-00-00"
BRX,11.66,12.12,"2020-08-24, 05-00-00"
BRX,12.17,11.94,"2020-08-25, 05-00-00"
BRX,11.93,11.65,"2020-08-26, 05-00-00"
BRX,11.72,12.0,"2020-08-27, 05-00-00"
BRX,12.01,11.98,"2020-08-28, 05-00-00"
BRX,11.95,11.8,"2020-08-31, 05-00-00"
BRX,11.63,12.03,"2020-09-01, 05-00-00"
BRX,12.0,12.37,"2020-09-02, 05-00-00"
BRX,12.41,12.6,"2020-09-03, 05-00-00"
BRX,12.72,13.04,"2020-09-04, 05-00-00"
BRX,12.85,12.68,"2020-09-08, 05-00-00"
BRX,12.71,12.56,"2020-09-09, 05-00-00"
BRX,12.54,12.17,"2020-09-10, 05-00-00"
BRX,12.12,11.96,"2020-09-11, 05-00-00"
BRX,12.06,12.56,"2020-09-14, 05-00-00"
BRX,12.6,12.92,"2020-09-15, 05-00-00"
BRX,13.0,13.26,"2020-09-16, 05-00-00"
BRX,13.05,13.15,"2020-09-17, 05-00-00"
BRX,13.12,12.57,"2020-09-18, 05-00-00"
BRX,12.22,11.78,"2020-09-21, 05-00-00"
BRX,11.83,11.66,"2020-09-22, 05-00-00"
BRX,11.63,10.99,"2020-09-23, 05-00-00"
BRX,10.95,11.13,"2020-09-24, 05-00-00"
BRX,11.06,11.4,"2020-09-25, 05-00-00"
BRX,11.74,11.98,"2020-09-28, 05-00-00"
BRX,11.93,11.66,"2020-09-29, 05-00-00"
BRX,11.8,11.69,"2020-09-30, 05-00-00"
BRX,11.69,12.09,"2020-10-01, 05-00-00"
BRX,11.61,12.46,"2020-10-02, 05-00-00"
BRX,12.6,12.5,"2020-10-05, 05-00-00"
BRX,12.65,12.6,"2020-10-06, 05-00-00"
BRX,12.73,12.43,"2020-10-07, 05-00-00"
BRX,12.57,12.63,"2020-10-08, 05-00-00"
BRX,12.72,12.38,"2020-10-09, 05-00-00"
BRX,12.36,12.3,"2020-10-12, 05-00-00"
BRX,12.12,11.74,"2020-10-13, 05-00-00"
BRX,11.71,11.5,"2020-10-14, 05-00-00"
BRX,11.35,11.6,"2020-10-15, 05-00-00"
BRX,11.6,11.3,"2020-10-16, 05-00-00"
BRX,11.4,11.18,"2020-10-19, 05-00-00"
BRX,11.31,11.29,"2020-10-20, 05-00-00"
BRX,11.23,11.27,"2020-10-21, 05-00-00"
BRX,11.24,11.78,"2020-10-22, 05-00-00"
BRX,11.85,11.93,"2020-10-23, 05-00-00"
BRX,11.8,11.61,"2020-10-26, 05-00-00"
BRX,11.55,11.15,"2020-10-27, 05-00-00"
BRX,10.83,10.83,"2020-10-28, 05-00-00"
BRX,10.73,11.02,"2020-10-29, 05-00-00"
BRX,10.96,10.96,"2020-10-30, 05-00-00"
BRX,11.09,11.2,"2020-11-02, 06-00-00"
BRX,11.43,11.8,"2020-11-03, 06-00-00"
BRX,11.7,11.55,"2020-11-04, 06-00-00"
BRX,11.52,11.6,"2020-11-05, 06-00-00"
BRX,11.62,11.15,"2020-11-06, 06-00-00"
BRX,12.48,14.23,"2020-11-09, 06-00-00"
BRX,14.23,14.6,"2020-11-10, 06-00-00"
BRX,14.6,14.73,"2020-11-11, 06-00-00"
BRX,14.44,14.32,"2020-11-12, 06-00-00"
BRX,14.51,15.21,"2020-11-13, 06-00-00"
BRX,16.0,16.45,"2020-11-16, 06-00-00"
BRX,16.0,16.47,"2020-11-17, 06-00-00"
BRX,16.49,16.21,"2020-11-18, 06-00-00"
